名称,链接,简介
区区不才，在下野怪,https://dianying100.xyz/index.php/vod/play/id/1163/sid/1/nid/1.html,玩家东东因意外穿越进游戏《天青》成为最弱小野怪﹣﹣骷髅，不明情况的东东凭借自己多年的游戏经验，初期收获了一群野怪小弟。在与女主泡泡相遇后，与之签订契约成为最强宠物，带领着泡泡与后续结识的好友们
战警密令,https://dianying100.xyz/index.php/vod/play/id/1164/sid/1/nid/1.html,                            ,                       ,
贼王2018,https://dianying100.xyz/index.php/vod/play/id/1165/sid/1/nid/1.html,一帮退休的罪犯在伦敦的珠宝区实施了一起重大抢劫案。
余兴派对2018,https://dianying100.xyz/index.php/vod/play/id/1166/sid/1/nid/1.html,一个著名说唱歌手因部分丑闻而臭名昭著，他觉得自己的职业生涯结束了，然而在他的好友带他去参加了一场狂野的余兴派对之后，他重拾信心，准备化腐朽为神奇，创造不可能的奇迹....
爪哇火线,https://dianying100.xyz/index.php/vod/play/id/1167/sid/1/nid/1.html,一个神秘的美国团队在一名穆斯林警察帮助下追查一名危险的国际珠宝窃贼，这名窃贼绑架了苏丹的女儿意图盗取皇室的宝藏。影片取景广泛，片中我们可以欣赏到古代的宫殿、清真寺、庙宇、地下迷宫和金字塔等异国风情
震动2019,https://dianying100.xyz/index.php/vod/play/id/1168/sid/1/nid/1.html,                 &amp;#39;                ,                                    ,                  .
天使之耳～交通警察之夜,https://dianying100.xyz/index.php/vod/play/id/1169/sid/1/nid/1.html,阵内瞬(小圆)(25)。刚从总务科调到交通科的新交警。巡查部长金泽行彦(48岁)作为教育部门的搭档，发生的第一起交通事故是深夜十字路口的撞车事故。外国车司机主张绿灯。另一边的轻型车司机在医院死亡。两辆
你得来看看,https://dianying100.xyz/index.php/vod/play/id/1170/sid/1/nid/1.html,                         ,
斯图尔特·李：龙卷风,https://dianying100.xyz/index.php/vod/play/id/1171/sid/1/nid/1.html,        -                                             ,
夜幕救援,https://dianying100.xyz/index.php/vod/play/id/1172/sid/1/nid/1.html,      2016,                                   é                                      ,
支队,https://dianying100.xyz/index.php/vod/play/id/1173/sid/1/nid/1.html,他倾尽全力领着小队只为了救出生病的女孩，却遭到恐怖组织设置的陷阱，这次，幸运之神能眷顾他与小队员的性命吗？
只要在一起,https://dianying100.xyz/index.php/vod/play/id/1174/sid/1/nid/1.html,人生中总是充满意外的相遇。爱画画的孤独女生卡蜜伊（奥黛丽•塔图饰），落寞贵族菲利贝尔(              饰)以及生活邋遢的帅气厨师弗朗克（吉约姆•卡内饰)，本是巴黎街头的陌生人。一次偶然
朱迪2019,https://dianying100.xyz/index.php/vod/play/id/1175/sid/1/nid/1.html,故事开始于20世纪30年代的好莱坞，14岁的朱迪（蕾妮·齐薇格   é          饰）因为其甜美的嗓音而被经纪人梅耶（理查德·科德里              饰）看中，就此走上了星途，但
双重风险,https://dianying100.xyz/index.php/vod/play/id/1176/sid/1/nid/1.html,妻子卡特琳面临换肾，血型符合的丈夫阿诺德却不愿意捐出自己的肾，正当卡特琳心灰意冷之时，却发现真正需要换肾的其实是阿诺德。本片由奥地利导演米夏埃尔·克赖斯尔根据同名德语话剧改编，人物关系盘根错节，情
雨金石战记,https://dianying100.xyz/index.php/vod/play/id/1177/sid/1/nid/1.html,孙星是一个生活在一个山清水秀的小城镇的无为青年，他每天的生活就是上班回家的两点一线，他热爱动漫、游戏和网络世界，但女人缘非常差，典型的宅男屌丝。由于家庭原因，他和青梅竹马的许倩生活在同一屋檐下，许
游泳池1969,https://dianying100.xyz/index.php/vod/play/id/1178/sid/1/nid/1.html,阿兰·德龙与罗密·施奈德合作的一部影片，这时已经是他们金童玉女时代之后的事情了，虽然爱情已逝，却又还没老，正是他们青春的顶峰，恰到好处，脱了甜蜜，却又还没有世故，只是已开始有了些感慨的样子。导演尽
与君相恋100次,https://dianying100.xyz/index.php/vod/play/id/1179/sid/1/nid/1.html,日向葵海（    饰）和长谷川陆（坂口健太郎饰）是青梅竹马的好友，两人同朋友松田直哉（龙星凉饰）和中村铁太（泉泽佑希饰）一起组建了一支乐队。直哉一直默默喜欢着葵海，他决定在夏日祭上表白自己的心意。
西游记之七十二变,https://dianying100.xyz/index.php/vod/play/id/1180/sid/1/nid/1.html,孙悟空为了拯救终年无雨的花果山，孤身前往只招收神仙学员的仙法学院——三星洞，拜师菩提老祖学习变化无穷的仙术。求学期间孙悟空除了交到一群肝胆相照的好友外，还发生了很多欢乐有趣、啼笑皆非的故事。然
悬案密码4：64号病历,https://dianying100.xyz/index.php/vod/play/id/1181/sid/1/nid/1.html,丹麦悬疑犯罪片，该片刷新丹麦国产片票房纪录，是系列电影《悬案密码》的第四部，也是最终章，《悬案密码》系列改编自丹麦小说家尤西·阿德勒-奥尔森（          -     ）的同名小说，
卧底巨星,https://dianying100.xyz/index.php/vod/play/id/1182/sid/1/nid/1.html,动作巨星元豹（陈奕迅饰）走红二十余载却从未得到过最佳男主角，因与泰国黑帮老大“八面佛”交好而被怀疑参与跨国贩毒犯罪，铁杆迷弟铁柱（李荣浩饰）通过擅长“潜规则”的副导（崔志佳饰）潜入元豹新电影的剧组
